Question,A,B,C,D,Answer,Explanation
Why is establishing a baseline of attack volume important in a SOC?,To evaluate the effectiveness of marketing strategies.,To understand the average volume of attacks for resource allocation.,To decide on the number of employees needed in the SOC.,To determine the budget for cybersecurity investments.,B,Establishing a baseline of attack volume is important in a SOC to understand the average volume of attacks. This helps in maintaining adequate resources to respond effectively to these attacks.
"In the context of mobile device management (MDM), what is a primary goal?",To monitor and manage security policies on mobile devices.,To decrease the efficiency of device usage in the workplace.,To encourage the use of devices without any security software.,To provide unrestricted access to all corporate data.,A,"MDM solutions enable organizations to centrally manage and enforce security policies on mobile devices, ensuring the security and compliance of these devices within the corporate environment."
What is the first step in vulnerability management during a security assessment?,Deploying countermeasures like firewalls and intrusion detection systems.,"Gathering information on hardware, network, and domain details.",Conducting a company-wide training on cybersecurity practices.,Updating all software to the latest versions.,B,"The first step in vulnerability management is gathering information, including hardware details, network information, domain details, application usage, and data from security tools."
"For a small business implementing a wireless network, what is a critical security measure to prevent unauthorized access?",Using an easy-to-guess password for convenience,Only using older wireless protocols for compatibility,Setting a strong and complex Wi-Fi password,Avoiding the use of any encryption to simplify setup,C,A strong and complex password is essential for securing a wireless network against unauthorized access and potential security breaches.
What is the primary goal of risk management in cybersecurity?,To ensure compliance with international standards.,To eliminate all cyber risks.,"To identify, assess, and prioritize risks to minimize impact on the organization.",To transfer all cyber risks to insurance companies.,C,"Risk management in cybersecurity focuses on identifying, assessing, and prioritizing risks. The aim is to implement strategies that minimize the impact of these risks on the organization, rather than eliminating all risks, which is often not feasible."
"To secure a corporate network from internal threats, what is a key strategy that should be implemented?",Allowing unrestricted access within the network.,Segmenting the network and applying internal firewalls.,Exclusively using external firewalls.,Implementing strong external perimeter security only.,B,"Network segmentation with internal firewalls controls and limits access within the network, reducing the risk of internal threats spreading."
What is a key security implication for embedded systems?,They primarily focus on aesthetic aspects rather than security.,They are immune to all forms of cyber attacks.,They only require physical security measures.,They often have limited resources and computing power for security.,D,"Embedded systems often have limited resources and computing power, which can impact the implementation and effectiveness of security measures."
Why is a multi-layered security approach considered beneficial in cybersecurity resilience?,"Because it is less expensive than using a single, comprehensive security solution.",Because it simplifies the security management process.,Because it provides robust protection by using multiple overlapping solutions.,Because it allows for a single solution to handle all security needs.,C,"A multi-layered security approach is beneficial because it uses multiple overlapping solutions, often referred to as defense in depth, to build a more robust protection against breaches."
What might be a likely indicator of a reconnaissance activity in a cyber attack?,Patterns of recon in web server logs or transient port scans.,Sudden increase in system resource usage.,Multiple failed login attempts from a single IP address.,Alerts from a firewall indicating blocked outgoing traffic.,A,"Patterns of reconnaissance, such as those observed in web server logs or transient port scans, can indicate the initial phase of a cyber attack, where attackers gather information."
"For securing file transfers, which protocol offers the best security features?",FTP,SFTP,SMTP,HTTP,B,"SFTP (Secure File Transfer Protocol) is used for secure file access, transfer, and management. It provides robust security features like encryption and secure authentication, making it suitable for secure file transfers."
Which of these would be a likely indicator of a machine infected with malware?,Unusual outbound connections to certain IP addresses.,Decreased network latency.,Increased disk space availability.,Higher than normal employee login frequency.,A,"Tracking IP addresses which malware connects to can help in determining if a machine is infected, as malware often communicates with external command-and-control servers."
"For a company that needs high availability and fault tolerance, which of the following network designs is most appropriate?",Single server with a strong firewall.,Multiple servers in a load-balanced configuration with failover capabilities.,Servers located in a single geographic location.,One central server with multiple backups.,B,"Load balancing with failover capabilities distributes traffic evenly and ensures network availability, even if one or more servers fail."
Why is cryptography essential in the field of security?,"To scramble data into non-readable text, preventing unauthorized access.",To make data storage more efficient.,To increase the speed of data transmission.,To improve the aesthetic appeal of digital content.,A,"Cryptography is essential because it scrambles data into a non-readable form (ciphertext), transforming it into a secure format that prevents unauthorized users from viewing it."
What tool would be most effective for real-time analysis and alerting of potential threats in network traffic?,Nessus,Nmap,Snort,Wireshark,C,Snort is an open-source network intrusion detection system (NIDS) that performs real-time traffic analysis and packet logging to detect and alert on potential threats.
"In the context of secure network architecture, what is the main benefit of network segmentation?",It simplifies network management.,It increases the speed of the network.,It limits the spread of network-based attacks within the system.,It reduces the overall cost of the network infrastructure.,C,"Network segmentation is a security practice that divides a network into multiple segments or subnets, each acting as a separate network to contain security breaches and limit the spread of network-based attacks."
Which step is critical in the initial stage of a digital forensic investigation?,Data Preservation,Evidence Destruction,Data Analysis,Reporting Findings,A,Preserving data in its original state is essential in digital forensics to ensure the integrity and reliability of the evidence during later analysis.
"In a scenario where sensitive data is transmitted over the internet, which protocol should be implemented to ensure secure communication?",HTTP,FTP,HTTPS,SMTP,C,"HTTPS (Hypertext Transfer Protocol Secure) should be used for secure communication over the internet. It encrypts the data transmitted, ensuring confidentiality and integrity."
Which control is most effective for ensuring that former employees cannot access company systems?,Immediate deactivation of user accounts upon termination.,Increasing network bandwidth.,Implementing biometric authentication systems.,Regular password rotation for active employees.,A,Prompt deactivation of accounts when employees leave the organization prevents unauthorized access and potential security breaches.
Which tool is most effective for identifying vulnerabilities in a network's devices?,Snort,Wireshark,Nmap,Nessus,D,"Nessus is a comprehensive vulnerability scanning tool that's effective for assessing vulnerabilities in network devices. It scans for vulnerabilities, misconfigurations, and provides risk assessments."
"In security assessments, how are scripts or third-party programs used for monitoring?",To provide training materials for security teams.,To monitor specific endpoints and detect vulnerabilities.,To manage user access and permissions.,To automatically update software and systems.,B,"Scripts or third-party programs are used to monitor specific endpoints, performing checks like ICMP, SNMP, TCP/UDP, or HTTP, to detect vulnerabilities."
Who are hacktivists in the context of cyber security threats?,Individuals using advanced hacking techniques for financial gain.,Groups attacking for social or political ends.,Government-sponsored actors targeting critical infrastructure.,Novice hackers using simple tools for minor disruptions.,B,Hacktivists are threat actors that attack to further social or political ends. They can be sophisticated and are often associated with politically motivated attacks.
What is the initial step in responding to a security incident involving malware?,Conducting a Business Impact Analysis,Implementing new firewalls,Updating all system patches,Isolating the affected asset from the network,D,"Isolating the infected asset from the network is crucial to prevent the spread of malware to other machines, as malware often attempts to propagate through an internal network."
What is a typical indicator of web-based attacks exploiting the trust of web technologies?,Elevated access requests from administrative accounts.,"Implicit trust in scripts, commands, and cookies received by web pages.",A decrease in the number of active user sessions.,Unusual patterns in outgoing emails from the server.,B,"Web-based attacks often exploit the implicit trust that web pages have in the content they receive, such as scripts, commands, and cookies, which are not originally designed with stringent security measures."
What is a key aspect of remediation in incident response?,Focusing solely on financial compensation,Conducting a detailed risk assessment,Prioritizing business continuity over security,Implementing changes to prevent a recurrence of the incident,D,"Remediation in incident response focuses on making sure that an incident cannot happen again, which may involve patches, firewall changes, updates to IoC databases, or adding more layers of security."
"In a cloud computing environment, which of the following is a key security measure to protect data at rest?",Implementing strong encryption for stored data.,Storing all sensitive data in unencrypted form.,Relying solely on the cloud provider's default security settings.,Disabling firewalls and intrusion detection systems.,A,"Encrypting data at rest is crucial in cloud environments to protect sensitive information from unauthorized access, especially in the event of a data breach."
"In a network with sensitive data transfers, which of the following is the most effective way to ensure data confidentiality and integrity?",Implementing an open Wi-Fi network for ease of access.,Relying solely on physical security measures.,Placing all servers in a DMZ for better visibility.,Using a VPN to encrypt data in transit.,D,"A VPN encrypts data as it travels across a network, ensuring both confidentiality and integrity by preventing unauthorized access and tampering."
Why are security policies crucial in an organization's cybersecurity strategy?,They are optional guidelines and not necessary for small organizations.,"They focus solely on the technical aspects of security, such as firewall configuration.",They provide a framework for legal compliance and ethical conduct.,They are mainly used for marketing purposes to build customer trust.,C,Security policies are essential as they establish a framework for maintaining legal compliance and ethical conduct within an organization. They guide the behavior of employees and the management of technological resources to protect the organization's data and assets.
What is the purpose of asymmetric encryption in PKI?,To provide faster encryption and decryption.,To create digital certificates.,To authenticate and encrypt messages between parties.,To store encryption keys.,C,"Asymmetric encryption in PKI is used for authenticating and encrypting messages between parties. It involves a public key for encryption and a private key for decryption, ensuring secure communication."
What is a key tactic used in impersonation/identity theft in social engineering?,Using malware to infect a victim's computer.,Sending mass emails to spread malware.,Stealing credentials and pretending to be someone else.,Shoulder surfing to observe sensitive information.,C,"In impersonation/identity theft, attackers often use stolen credentials to pretend to be someone else, such as a person within the organization or a powerful external entity, to deploy malware."
"To establish a secure, encrypted connection for remote management of a network device, which protocol should be used?",SSH,HTTP,SNMP,Telnet,A,"SSH (Secure Shell) is the protocol that provides a secure channel over an unsecured network, making it suitable for remote management of network devices with encryption."
How do incident response procedures contribute to the effectiveness of security measures in an organization?,By ensuring the confidentiality of corporate data,By outlining specific steps to be taken during security incidents,By providing guidelines for routine security maintenance,By defining the organization's security strategy,B,"Incident response procedures are critical as they provide specific, actionable steps to be taken during security incidents. This ensures a timely and efficient response, helping to mitigate damage and restore normal operations as quickly as possible."
"In digital forensics, what is the importance of the chain of custody?",Preventing the theft of digital evidence,Ensuring that digital evidence remains usable,Ensuring the confidentiality of digital evidence,Keeping track of who has handled digital evidence,D,"The chain of custody is crucial in digital forensics to document who has handled the evidence, ensuring that it has not been altered or tampered with."
What does the 'AAA' acronym stand for in the context of security design?,"Authentication, Authorization, and Accounting.","Access, Alert, and Awareness.","Allocation, Attribution, and Analysis.","Assessment, Adjustment, and Assurance.",A,"The 'AAA' acronym in security design stands for Authentication, Authorization, and Accounting. It is a fundamental concept used in designing and implementing security protocols."
How is authorization typically implemented in security systems?,Solely through physical security measures.,By ignoring user roles and responsibilities.,Through a permission scheme or access control list (ACL).,By providing all users equal access to resources.,C,"Authorization in security systems is often implemented through a permission scheme or an access control list (ACL), which keeps track of which resources an entity has access to."
Which of the following is an indicator often identified by Intrusion Detection Systems (IDS) and Intrusion Prevention Systems (IPS)?,"Known exploit signatures, such as SQL injection patterns.",Physical tampering with network devices.,Frequent system reboots.,Unauthorized changes to file permissions.,A,"IDS and IPS systems monitor network traffic for known exploit signatures, like SQL injection patterns, and raise alerts or take preventive actions when such patterns are detected."
What might indicate privilege escalation as part of a network attack?,Frequent changes in data backup schedules.,Decreased network traffic during peak hours.,Regular user accounts performing administrative actions.,Increased frequency of antivirus updates.,C,"Privilege escalation in a network attack may involve attackers gaining higher-level access, indicated by regular user accounts performing administrative actions."
Which group of threat actors is often associated with governments and known for their extensive resources and constant threat presence?,Advanced Persistent Threats (APTs),Organized crime syndicates,Hacktivists,Script kiddies,A,"APTs are threat actors associated with or working for governments and nation states, known for their extensive resources and capability to commit sustained cyber crimes against other nations."
What does the Docker build system rely on in terms of security during application deployment?,The speed of deployment of Docker containers.,The user interface design of the Docker containers.,The security of the images it is building from.,The physical security of the servers hosting Docker.,C,The Docker build system relies on the trust that the images it is building from are secure. This is critical because a malicious entity can slip something harmful into the image if the source images are not secure.
What could be an indicator of an attacker attempting defense evasion?,An increase in database read/write operations.,High CPU usage by a web server.,Unusual patterns of incoming network traffic.,Disabling malware scanners and clearing logs.,D,"An attacker may try to evade defense by automating steps that make it hard to detect their presence, such as disabling malware scanners and clearing logs."
"When setting up a secure email transmission, which of the following protocols is most appropriate?",S/MIME,POP3,IMAP,SMTP,A,"S/MIME (Secure/Multipurpose Internet Mail Extensions) is a protocol used for sending digitally signed and encrypted emails, ensuring the security of email communications."
Which regulation requires organizations to protect the personal data and privacy of EU citizens for transactions that occur within EU member states?,General Data Protection Regulation (GDPR),Health Insurance Portability and Accountability Act (HIPAA),Federal Information Security Management Act (FISMA),Sarbanes-Oxley Act (SOX),A,The GDPR is a critical regulation in the European Union that impacts organizational security posture by imposing strict rules on data protection and privacy for individuals within the EU. It has far-reaching implications for organizations worldwide that handle EU citizens' data.
What is the primary purpose of technical controls in a computer security environment?,To utilize technology to restrict access and protect information systems.,To manage and dictate the behaviors and actions of users and systems.,To establish physical security barriers and control mechanisms.,To provide a recovery framework post a security breach.,A,"Technical controls, also known as logical controls, involve the use of hardware and software mechanisms to manage access to information systems and protect against unauthorized access to data."
What is the primary objective of phishing in social engineering attacks?,To physically access restricted areas by following authorized personnel.,To impersonate a trusted individual or entity to gain access to secure systems.,To trick individuals into providing sensitive information through fraudulent communication.,To gain unauthorized access to a user's account by guessing their password.,C,"Phishing involves communicating with someone via a fraudulent message to make them perform an action that will harm them, typically by tricking them into providing sensitive information."
What is a key characteristic of virtualization in Information Technology?,Outsourcing IT management to external providers.,Using virtual computing resources instead of actual hardware.,Focusing exclusively on software development without hardware considerations.,Using physical computing resources directly.,B,"Virtualization in IT involves using virtual computing resources, such as emulating a processor or memory, instead of using the actual physical resources directly."
What is an important tool used in the evaluation phase of a security assessment?,A CVSS (Common Vulnerability Scoring System) score.,A cost-benefit analysis of security technologies.,A survey on employee cybersecurity awareness.,An inventory of all company-owned devices.,A,A CVSS score is a crucial tool used in the evaluation phase of security assessments to understand and prioritize vulnerabilities.
Which protocol should be used for securely browsing the web and preventing eavesdropping?,SNMP,HTTPS,FTP,HTTP,B,HTTPS is the secure version of HTTP and should be used for web browsing to prevent eavesdropping and ensure data integrity between the browser and the web server.
What is a defining feature of a private cloud?,"It is primarily used for personal, non-commercial purposes.",It uses public cloud infrastructure for all its operations.,It involves hosting virtualization and automation technologies internally.,It is exclusively managed by third-party cloud service providers.,C,"A private cloud takes the virtualization and automation technologies used by public cloud providers and hosts them internally, allowing a company to have full control over its cloud deployment."
What is the main security risk associated with 'Injection' vulnerabilities?,Corruption of the data in transit over a network.,Overloading the server with too many requests.,Unauthorized command execution on a server or database.,Unauthorized access to user accounts.,C,"Injection vulnerabilities allow attackers to send malicious data to an interpreter as part of a command or query, leading to unauthorized command execution on a server or database."
What is a key security feature to implement in a BYOD (Bring Your Own Device) policy?,Allowing unrestricted access to corporate networks.,Forbidding the use of passwords and other security measures.,Requiring devices to comply with corporate security standards.,Mandatory installation of personal social media accounts on devices.,C,Ensuring that personal devices used for work comply with corporate security standards is crucial in a BYOD policy to protect corporate data and network integrity.
What is the focus of the execution phase in penetration testing?,Setting up defenses against potential penetration attacks.,Planning and strategizing the test.,Gathering and analyzing data post-test.,Running commands or scripts to exploit vulnerabilities and establish a foothold.,D,"The execution phase in penetration testing involves running the necessary commands or scripts to exploit vulnerabilities, which may include setting up tasks to run, downloading and installing software, and possibly establishing a foothold for further internal attacks."
What is the primary role of a digital certificate in a PKI?,To authenticate the identity of a user or device.,To increase the speed of cryptographic operations.,To store user data securely.,To provide symmetric key encryption.,A,"Digital certificates are used in PKI to authenticate the identities of users or devices, associating a public key with an entity's identity."
"When designing a network for a company with high availability requirements, which of the following concepts would be most critical?",Intrusion Detection System (IDS),Least Privilege Access,Network Segmentation,Single Point of Failure (SPOF),D,"In high availability environments, identifying and mitigating Single Points of Failure (SPOFs) is crucial to ensure continuous operation and reduce the risk of a complete system shutdown due to the failure of a single component."
"When conducting a Business Impact Analysis (BIA) as part of Business Continuity Planning, which tool is most useful for gathering and analyzing data?",Data Encryption Tools,Project Management Software,Network Monitoring Tools,Risk Assessment Tools,D,"Risk Assessment Tools are instrumental in conducting a Business Impact Analysis as they help in identifying and analyzing potential impacts on business operations, which is a key part of Business Continuity Planning."
What is the primary goal of digital forensics?,To develop new digital technologies,To enhance the security of digital systems,To repair damaged digital systems,To investigate digital data for legal purposes,D,"Digital forensics primarily focuses on the investigation and analysis of digital data, often for legal purposes such as in criminal or civil cases."
What is the primary role of a Security Operations Center (SOC) in an enterprise environment?,To manage the company's marketing strategies against cyber threats.,To lead incident response and recovery efforts.,To conduct regular cybersecurity training for employees.,To oversee the company's financial investments in cybersecurity.,B,"A SOC is a dedicated team of security experts responsible for incident response and recovery within the business they are protecting. They also set up preventative infrastructure, monitor the environment, respond to threats, manage logs, and ensure compliance."
"In the context of incident response, what is the main purpose of implementing redundant services?",To facilitate easier recovery of data,To speed up the incident response process,To ensure there is always an uncompromised service available,For legal compliance and documentation,C,"Redundant services are implemented to help maintain continuity by ensuring that there is always an uncompromised service available, even in the event of an incident."
Which of the following is an indicator of a Denial of Service (DoS) or Distributed Denial of Service (DDoS) attack?,Decreased server response times.,"Overwhelming system with requests, rendering it non-functional.",Frequent changes in network configuration.,Unusual patterns in outgoing emails.,B,"A DoS attack attempts to keep a system from working by overwhelming it with requests, and a DDoS attack does the same using many different machines."
Which of the following is a primary method used in multi-factor authentication (MFA)?,Employing a combination of a password and a biometric measure,Using a single strong password,Implementing an advanced firewall,Using a single-use token for each login,A,"MFA enhances security by requiring multiple forms of verification, often combining something you know (like a password) with something you have (like a fingerprint or key fob)."
What is a common characteristic of 'script kiddies' as threat actors?,They use automated tools which they may not fully understand.,They are known for engaging in state-sponsored hacking.,They have advanced hacking skills and extensive resources.,They are typically part of organized crime syndicates.,A,"Script kiddies are neophytes in hacking, often using automated tools that they do not fully understand. They are not highly sophisticated in their methods."
What is a typical technique used during the reconnaissance phase of penetration testing?,Implementing security controls and countermeasures.,"Collecting information about the target, like vulnerability scanning and network mapping.",Developing custom malware for targeted attacks.,Analyzing the results of a successful penetration test.,B,"The reconnaissance phase in penetration testing typically involves collecting information about the target, which includes vulnerability scanning, network mapping, and phishing."
What is a primary function of a cryptographic key?,To provide a user interface for software applications.,To change plaintext into ciphertext using a cryptographic algorithm.,To increase the processing speed of computing systems.,To physically secure devices against unauthorized access.,B,"A cryptographic key is used to change plaintext into ciphertext, typically by a cryptographic algorithm. This process encrypts the data, making it secure from unauthorized access."
How do security policies contribute to an organization's overall risk management strategy?,By ensuring that all employees have cybersecurity training.,"By defining how to identify, assess, and mitigate risks to the organization's assets and data.",By only focusing on external threats and ignoring internal risks.,By transferring all cyber risks to insurance companies.,B,"Security policies are integral to an organization's risk management strategy as they define the processes for identifying, assessing, and mitigating various cyber risks. This helps in safeguarding the organization's assets and data against potential security threats."
What is the primary purpose of implementing multi-factor authentication (MFA) in identity management?,To simplify the login process for users.,"To allow users to choose any password, regardless of its strength.",To decrease the cost of account management.,To provide an additional layer of security beyond just passwords.,D,"MFA enhances security by requiring multiple forms of verification, making it harder for unauthorized users to gain access."
What is the role of risk mitigation in cybersecurity?,To monitor and report cyber threats to government agencies.,To ensure that the organization is fully compliant with all legal requirements.,To provide insurance against any type of cyber threat.,To reduce the likelihood and impact of risks to an acceptable level.,D,Risk mitigation in cybersecurity involves implementing strategies and measures to reduce the likelihood and impact of identified risks to an acceptable level. This process is vital for managing risks effectively within the organization.
How do privacy laws like GDPR and HIPAA impact an organization's handling of sensitive data?,They provide guidelines but have no legal enforcement.,They only apply to organizations within certain industries.,They impose legal requirements for the protection and handling of personal and sensitive data.,They mandate specific technologies for data protection.,C,Privacy laws like GDPR and HIPAA impose strict legal requirements on how organizations handle sensitive and personal data. These laws dictate the measures that must be taken to protect such data and the consequences of failing to comply.
"For ensuring secure access to cloud resources, which technology is most appropriate?",Allowing unlimited access attempts without lockout policies.,Employing multi-factor authentication (MFA).,Sharing a single user account among multiple team members.,Using simple passwords for all accounts.,B,"MFA adds an additional layer of security by requiring two or more verification methods, significantly enhancing access security to cloud resources."
"To control which devices can connect to a wireless network, an administrator should configure:",Unsecured Guest Access,WEP Encryption,MAC Address Filtering,Open Network Access,C,"MAC Address Filtering allows network administrators to specify which devices are allowed to connect to the wireless network, adding an additional layer of security."
What is the benefit of implementing a hybrid cloud model from a security perspective?,It requires no management of security policies.,It eliminates the need for any internal IT security.,It enables organizations to keep sensitive data on-premises while leveraging public cloud for less critical data.,It allows for the storage of all sensitive data on public clouds.,C,"A hybrid cloud model offers flexibility, allowing sensitive data to be stored on more secure, on-premises servers while still taking advantage of the scalability and cost-effectiveness of public clouds."
Which of the following is a common vector used by threat actors to gain unauthorized access?,Internal company memos.,Phishing sites and messages.,Authorized user credentials.,Regular software updates.,B,"Threat actors often use phishing, through sites or messages, as a vector to gain unauthorized access. This can involve targeting individuals through non-business communication channels to extract information."
What role do security policies play in incident response within an organization?,They are only used for reporting incidents to external authorities.,They have no role in incident response as this is purely a technical process.,They provide financial support for losses incurred during security incidents.,They outline the procedures and responsibilities for responding to security incidents.,D,"Security policies play a critical role in incident response as they outline the standard procedures, roles, and responsibilities for effectively responding to and managing security incidents. These policies ensure a coordinated and prompt response to mitigate the impact of incidents."
Which technology is crucial for protecting corporate data on mobile devices if they are lost or stolen?,Unrestricted app installations.,Open Bluetooth connectivity.,Disabling screen locks.,Remote wipe capabilities.,D,"Remote wipe capabilities allow organizations to remotely erase data on a lost or stolen device, protecting sensitive information from unauthorized access."
What is the primary purpose of using a Cloud Access Security Broker (CASB) in a cloud environment?,To replace the need for a firewall.,To decrease network performance.,To manage and enforce security policies across multiple cloud services.,To store all user credentials in a central location.,C,CASBs are security policy enforcement points that ensure compliance and security policy consistency across multiple cloud services used by an organization.
Why is 'Security Misconfiguration' a significant vulnerability?,It can slow down system performance due to improper settings.,It often causes system downtime and unavailability.,It results in increased costs for security maintenance.,It can lead to unauthorized access and data breaches.,D,"Security Misconfiguration can occur at any level of an application stack and can lead to unauthorized access and data breaches if security settings are not properly configured or are default, outdated, or incomplete."
What is a key aspect to consider for securing an application in the cloud?,The physical location of the cloud servers.,"The security of the code, container, and cluster of the application.",The speed of the application's performance in the cloud.,The color scheme and user interface design of the application.,B,"When securing an application running in the cloud, it's important to consider the security of the code, container, and cluster, as part of the 4C's of Cloud Native Security."
"When implementing identity and account management controls, which of the following is the most effective method to ensure user accountability?",Assigning group accounts for all users.,Using shared passwords for convenience.,Disabling audit logs to simplify management.,Implementing unique user accounts for each individual.,D,"Unique user accounts ensure that activities can be traced back to individual users, enhancing accountability and security."
"What type of digital forensic analysis focuses on recovering deleted, encrypted, or damaged file information?",Live Forensics,Data Recovery,Malware Analysis,Network Forensics,B,"Data recovery is a key aspect of digital forensics that involves retrieving deleted, encrypted, or damaged information from digital devices."
Why are specialized systems considered challenging in terms of security?,They always operate independently of other systems.,They are less important than general-purpose systems and thus receive less focus on security.,Their specialized nature can require unique security approaches.,They only use outdated software and hardware.,C,Specialized systems can pose security challenges because their specialized nature may require unique and specific security approaches that differ from those used in general-purpose systems.
What is the primary purpose of the NIST Framework in organizational security?,To outline procedures for handling personal health information.,To provide a set of industry standards and best practices to help organizations manage cybersecurity risk.,To monitor and control internet traffic in the United States.,To enforce legal compliance with specific security measures in financial organizations.,B,"The National Institute of Standards and Technology (NIST) Framework assists organizations in better understanding, managing, and reducing cybersecurity risks, thereby strengthening their security posture. It offers guidelines and best practices rather than enforcing legal compliance."
Which of the following is a critical aspect of secure application deployment?,Prioritizing aesthetic aspects of the application.,Focusing solely on the cost-efficiency of the deployment tools.,Implementing secure protocols and secure network architecture concepts.,Ensuring rapid deployment regardless of security checks.,C,A critical aspect of secure application deployment is the implementation of secure protocols and secure network architecture concepts. This ensures that the application is robust against various cyber threats.
Which data source is most effective for identifying unauthorized changes to system files and configurations during an incident?,Employee time tracking software,Physical access control logs,Intrusion Detection System (IDS) alerts,File integrity monitoring systems,D,File integrity monitoring systems are specifically designed to detect changes in files and configurations. They are effective in identifying unauthorized alterations that could indicate a cybersecurity incident.
"When designing a network for a large organization with different departments, what is a key consideration for enhancing security?",Avoiding the use of wireless networks entirely.,Ensuring all devices use the same operating system for uniformity.,Utilizing a single shared network for all departments.,Implementing role-based access control (RBAC) on the network.,D,"RBAC ensures that individuals only have access to the network resources necessary for their roles, enhancing overall security."
"For a company looking to maintain operations during a major incident, such as a data center failure, which of the following would be the most appropriate solution?",Implementing RAID storage systems,"Establishing hot, cold, and warm sites",Deploying an advanced firewall system,Segmenting the internal network,B,"Hot, cold, and warm sites are disaster recovery solutions that allow businesses to quickly recover and maintain operations in the event of significant incidents like data center failures."
Which of the following best describes administrative controls in computer systems security?,Controls that are implemented after a security incident to recover and restore organization's operations.,Controls that involve the use of technology to protect data and to control access to data.,Controls that include policies and procedures that are implemented to manage the conduct of personnel.,"Controls that involve physical measures to prevent unauthorized access to facilities, equipment, and resources.",C,Administrative controls are management-oriented and are typically enforced by the organization's policies and procedures. They are designed to dictate the conduct and behavior of personnel to ensure security policies and procedures are followed.
Which of the following is an example of a physical control in computer systems security?,Firewalls and antivirus software.,Employee background checks.,Data encryption techniques.,Biometric access control systems.,D,"Physical controls are measures taken to secure the physical environment of an organization and its resources. This includes locks, access control systems, surveillance cameras, and biometric systems."
"In the context of privilege management, what is the principle of least privilege?",Assigning privileges based on seniority in the organization.,Granting users the maximum permissions possible.,Granting users only the permissions necessary to perform their job functions.,Providing all users with administrative privileges for convenience.,C,"The principle of least privilege limits users' access rights to only what is necessary for their job, reducing the risk of misuse or accidental damage."
What is a potential indicator of session hijacking in web applications?,"Anomalies in session cookies, such as unexpected changes or use.",Detection of unauthorized network devices.,Unexplained fluctuations in network bandwidth.,Rapid increase in server memory usage.,A,"Session hijacking may be indicated by anomalies in session cookies, such as unexpected changes, suggesting unauthorized access to a user’s authenticated session."
Which of the following is an essential component for securing a network against unauthorized access?,"Using a single, complex password for all devices.",Implementing network access control (NAC) systems.,Avoiding the use of encryption to simplify network management.,Disabling all wireless connections.,B,"NAC systems control access to the network by enforcing security policies, thereby preventing unauthorized access."
What is the role of Kerberos in authentication?,It provides a decentralized authentication model.,It encrypts data transmission over a network.,It is primarily used for data encryption.,It uses time-based tickets for authenticating client-server connections.,D,Kerberos is an authentication protocol that uses time-based tickets to allow for secure authentication on untrusted networks.
"In the context of web applications, how are HTTP sessions used for authorization?",They provide a secure channel for data transmission.,They are mainly used for encrypting data.,They are not related to authorization.,They use cookies to control access to resources.,D,"In web applications, HTTP sessions control access to resources by assigning a cryptographically secure session ID to users, often in the form of a cookie."
Which of the following best describes the role of the OWASP Top 10 in enhancing organizational security?,It serves as a legal framework for data protection in the European Union.,It offers a comprehensive set of security protocols for web servers.,It is a government-mandated standard for all organizations in the USA.,It provides a list of the top 10 security vulnerabilities in software applications.,D,"The Open Web Application Security Project (OWASP) Top 10 is a standard awareness document representing the most critical security risks to web applications. Organizations use this list to understand and mitigate common vulnerabilities in software applications, thus enhancing their security posture."
"For a suspected data breach involving sensitive customer information, which of the following data sources would be most critical for the investigation?",Marketing campaign data,Data encryption protocols,Application logs,Firewall configuration files,C,"Application logs are vital in understanding the actions performed within an application. They can help trace back the activities related to a data breach, including access to sensitive customer information."
What is a primary security concern associated with 'Broken Access Control'?,Slower performance of the system due to access checks.,Unauthorized users gaining access to sensitive data.,Increased network traffic due to frequent access requests.,Users being unable to access necessary resources.,B,"Broken Access Control refers to failures in restricting access to authorized users only, leading to unauthorized users potentially gaining access to sensitive data."
"In a scenario where an SOC supports a web application on self-hosted machines, what initial step might a malicious actor take to exfiltrate data?",Try to physically access the server hosting the web application.,Send phishing emails to the application's users.,Immediately launch a denial-of-service attack.,Test the application for SQL injection vulnerabilities.,D,"In such a scenario, a malicious actor might start by testing the web application for SQL injection vulnerabilities, which is a common technique for attempting to exfiltrate data."
Which of the following best describes a risk assessment in the context of cybersecurity?,A process to identify and quantify financial losses due to cyber incidents.,A technical procedure to fix vulnerabilities in a network.,A legal requirement that all organizations must follow to avoid penalties.,A process to determine the potential impact of identified cybersecurity threats.,D,"Risk assessment involves evaluating identified cybersecurity threats to understand their potential impact on the organization. It is a critical component of risk management, helping organizations prioritize and address the most significant risks."
